diseaseId	diseaseName	diseaseType	diseaseClass	diseaseSemanticType
C0019209	Hepatomegaly	phenotype	C23;C06	Finding
C0036341	Schizophrenia	disease	F03	Mental or Behavioral Dysfunction
C0002395	Alzheimer's Disease	disease	C10;F03	Disease or Syndrome
C0007102	Malignant tumor of colon	disease	C06;C04	Neoplastic Process
C0009375	Colonic Neoplasms	group	C06;C04	Neoplastic Process
C0011265	Presenile dementia	disease	C10;F03	Mental or Behavioral Dysfunction
C0011570	Mental Depression	disease	F01	Mental or Behavioral Dysfunction
C0011581	Depressive disorder	disease	F03	Mental or Behavioral Dysfunction
C0019202	Hepatolenticular Degeneration	disease	C16;C06;C18;C10	Disease or Syndrome
C0022660	Kidney Failure, Acute	disease	C13;C12	Disease or Syndrome
C0023890	Liver Cirrhosis	disease	C23;C06	Disease or Syndrome
C0023893	Liver Cirrhosis, Experimental	disease	C23;C06	Experimental Model of Disease
C0024115	Lung diseases	group	C08	Disease or Syndrome
C0024121	Lung Neoplasms	group	C04;C08	Neoplastic Process
C0027726	Nephrotic Syndrome	group	C13;C12	Disease or Syndrome
C0206669	Hepatocellular Adenoma	disease	C06;C04	Neoplastic Process
C0239946	Fibrosis, Liver	disease	C23;C06	Disease or Syndrome
C0242379	Malignant neoplasm of lung	disease	C04;C08	Neoplastic Process
C0276496	Familial Alzheimer Disease (FAD)	disease	C10;F03	Disease or Syndrome
C0494463	Alzheimer Disease, Late Onset	disease	C10;F03	Mental or Behavioral Dysfunction
C0546126	Acute Confusional Senile Dementia	disease	C10;F03	Mental or Behavioral Dysfunction
C0750900	Alzheimer's Disease, Focal Onset	disease	C10;F03	Mental or Behavioral Dysfunction
C0750901	Alzheimer Disease, Early Onset	disease	C10;F03	Disease or Syndrome
C1527352	Hepatic Form of Wilson Disease	disease	C16;C06;C18;C10	Disease or Syndrome
C1565662	Acute Kidney Insufficiency	disease	C13;C12	Disease or Syndrome
C2239176	Liver carcinoma	disease	C06;C04	Neoplastic Process
C2609414	Acute kidney injury	disease	C13;C12	Injury or Poisoning
C3279661	alpha-2-Macroglobulin Deficiency	disease	C08	Disease or Syndrome
C0001973	Alcoholic Intoxication, Chronic	disease	C25;F03	Mental or Behavioral Dysfunction
