genes	phenotype
Ppt1	decreased grooming behaviour
Gria2	decreased grooming behaviour
Adcyap1	decreased grooming behaviour
cir	decreased grooming behaviour
Ckmt1	decreased grooming behaviour
ckr	decreased grooming behaviour
Cplx2	decreased grooming behaviour
Crhr2	decreased grooming behaviour
Cckbr	decreased grooming behaviour
Sgcg	decreased grooming behaviour
Chrna4	decreased grooming behaviour
Tg(Prnp-SNCA*A53T)83Vle	decreased grooming behaviour
Oxt	decreased grooming behaviour
Drd3	decreased grooming behaviour
Drd3	decreased grooming behaviour
Ddo	decreased grooming behaviour
Nmur2	decreased grooming behaviour
En2	decreased grooming behaviour
Tg(Prnp-MAPT*P301L)JNPL3Hlmc	decreased grooming behaviour
Tg(APPSWE)2576Kha|Tg(Prnp-MAPT*P301L)JNPL3Hlmc	decreased grooming behaviour
Tg(Prnp-MAPT*P301L)JNPL3Hlmc	decreased grooming behaviour
Tg(Prnp)37Jcol|Prnp	decreased grooming behaviour
Espn	decreased grooming behaviour
Cdh23	decreased grooming behaviour
Selenop	decreased grooming behaviour
Otc	decreased grooming behaviour
Tg(tetO-HTT*94Q,-lacZ)1Rhn|Tg(Camk2a-tTA)1Mmay	decreased grooming behaviour
Tg(tetO-HDAC5*)1Eno|Tg(Myh6-tTA)6Smbf	decreased grooming behaviour
Tg(Nes-cre)1Kln|Ndufs4	decreased grooming behaviour
Ndufs4	decreased grooming behaviour
Tg(CAG-GLVP)#Cath|Tg(GAL4-PABPN1*A16)#Cath	decreased grooming behaviour
Grn	decreased grooming behaviour
Pstpip2	decreased grooming behaviour
Tg(Prnp-ATXN3*70Q)70.61Olri	decreased grooming behaviour
Tg(Prnp-ATXN3*148Q)148.19Olri	decreased grooming behaviour
+|Del(7Coro1a-Spn)1Dolm	decreased grooming behaviour
Brinp1	decreased grooming behaviour
Ccdc141	decreased grooming behaviour
Pth2r	decreased grooming behaviour
Dlgap4	decreased grooming behaviour
Marchf5	decreased grooming behaviour
Gpr88	decreased grooming behaviour
Nr2e1	increased aggression
Aggr1	increased aggression
Aggr1	increased aggression
Aggr2	increased aggression
Aggr2	increased aggression
Npy1r	increased aggression
Maob	increased aggression
Oxt	increased aggression
Oxtr	increased aggression
Penk-rs	increased aggression
Fev	increased aggression
Npy4r	increased aggression
Htt	increased aggression
Htt	increased aggression
Tg(Thy1-App*R609D*K612E)4Vln	increased aggression
Tg(Thy1-App*R609D*K612E)6Vln	increased aggression
Tg(Thy1-APP)3Somm	increased aggression
Cnr1	increased aggression
Nr2e1	increased aggression
Timo	increased aggression
nv	increased aggression
Sox1	increased aggression
Tg(Camk2a-tTA)1Mmay|Tg(tetO-DISC1*)1001Plet	increased aggression
Cacna1b	increased aggression
Tg(tetO/CMV-Prnp*,-lacZ)33Mjy|Tg(Camk2a-rtTA)1237Kndl	increased aggression
hy1	increased aggression
Pomc	increased aggression
Shank3	increased aggression
Tg(Nes-cre)1Kag|Mapk1	increased aggression
Lrrc7	increased aggression
Fmr1	increased aggression
Syn1	increased aggression
Syn2	increased aggression
Tg(Thy1-MAPT)22Schd	increased aggression
Chst1	increased aggression
Esr1	increased aggression
Ciz1	increased aggression
Shank3	increased aggression
Shank3	increased aggression
