# Copyright (c) 1966-2021 Johns Hopkins University. Use of this file adheres to the terms specified at https://omim.org/help/agreement.
# Generated: 2021-08-16
# See end of file for additional documentation on specific fields
Chromosome	Genomic Position Start	Genomic Position End	Cyto Location	Computed Cyto Location	MIM Number	Gene Symbols	Gene Name	Approved Gene Symbol	Entrez Gene ID	Ensembl Gene ID	Comments	Phenotypes	Mouse Gene Symbol/ID
chr1	0	123400000	1p		606788	ANON1	Anorexia nervosa, susceptibility to, 1		171514			{Anorexia nervosa, susceptibility to, 1}, 606788 (2)	
chr1	0	2300000	1p36.33		618815	C1DUPp36.33, DUP1p36.33	Chromosome 1p36.33 duplication syndrome, ATAD3 gene cluster					Chromosome 1p36.33 duplication syndrome, ATAD3 gene cluster, 618815 (4), Autosomal dominant	
chr1	0	20100000	1pter-p36.13		115665	CTRCT8, CCV	Cataract, congenital, Volkmann type		7792		linked to Rh in Scottish family	Cataract 8, multiple types, 115665 (2), Autosomal dominant	
chr1	0	27600000	1pter-p36		131190	ERPL1, HLM2	Endogenous retroviral pol gene-like sequence 1 (oncogene HLM2)						
chr1	0	123400000	1p		605606	PSORS7	Psoriasis susceptibility 7		65245			{Psoriasis susceptibility 7}, 605606 (2)	
chr1	0	94300000	1pter-p22.1		154280	SAI1, MTS1, TFS1	Suppression of anchorage independence-1 (malignant transformation suppression-1)		6298				
chr1	923922	944573	1p36.33	1p36.33	616765	SAMD11, MRS	Sterile alpha motif domain-containing protein 11	SAMD11	148398	ENSG00000187634			Samd11 (MGI:2446220)
chr1	944202	959255	1p36.33	1p36.33	610770	NOC2L, NIR	NOC2-like nucleolar-associated transcriptional repressor	NOC2L	26155	ENSG00000188976			Noc2l (MGI:1931051)
chr1	960102	965718	1p36.33	1p36.33	619262	KLHL17, AF	Kelch-like 17	KLHL17	339451	ENSG00000187961			Klhl17 (MGI:2678948)
chr1	975197	982092	1p36.33	1p36.33	615921	PERM1, C1orf170	PPARGC1-and ESRR-induced regulator, muscle, 1	PERM1	84808	ENSG00000187642			Perm1 (MGI:1921433)
